시도,군구,총인구수 (명),남자인구수 (명),여자인구수 (명)
전국,소계,"51,578,178","25,711,784","25,866,394"
서울특별시,소계,"9,494,807","4,605,655","4,889,152"
서울특별시,　　　종로구,"143,624","69,513","74,111"
서울특별시,　　　중구,"122,088","59,364","62,724"
서울특별시,　　　용산구,"222,263","106,743","115,520"
서울특별시,　　　성동구,"283,821","138,162","145,659"
서울특별시,　　　광진구,"339,893","163,920","175,973"
서울특별시,　　　동대문구,"337,330","166,348","170,982"
서울특별시,　　　중랑구,"388,509","191,433","197,076"
서울특별시,　　　성북구,"433,559","208,790","224,769"
서울특별시,　　　강북구,"296,653","144,154","152,499"
서울특별시,　　　도봉구,"314,791","153,014","161,777"
서울특별시,　　　노원구,"508,066","244,387","263,679"
서울특별시,　　　은평구,"473,674","226,148","247,526"
서울특별시,　　　서대문구,"305,623","145,663","159,960"
서울특별시,　　　마포구,"367,584","172,569","195,015"
서울특별시,　　　양천구,"444,548","217,704","226,844"
서울특별시,　　　강서구,"573,045","275,233","297,812"
서울특별시,　　　구로구,"394,850","194,304","200,546"
서울특별시,　　　금천구,"231,565","116,811","114,754"
서울특별시,　　　영등포구,"376,437","185,460","190,977"
서울특별시,　　　동작구,"385,898","186,506","199,392"
서울특별시,　　　관악구,"486,946","244,722","242,224"
서울특별시,　　　서초구,"407,672","194,819","212,853"
서울특별시,　　　강남구,"531,777","254,333","277,444"
서울특별시,　　　송파구,"662,961","319,397","343,564"
서울특별시,　　　강동구,"461,630","226,158","235,472"
부산광역시,소계,"3,336,737","1,630,944","1,705,793"
부산광역시,　　　중구,"40,455","19,695","20,760"
부산광역시,　　　서구,"104,340","50,385","53,955"
부산광역시,　　　동구,"88,087","43,010","45,077"
부산광역시,　　　영도구,"109,395","53,890","55,505"
부산광역시,　　　부산진구,"350,999","168,924","182,075"
부산광역시,　　　동래구,"274,491","133,105","141,386"
부산광역시,　　　남구,"259,735","126,854","132,881"
부산광역시,　　　북구,"280,511","138,319","142,192"
부산광역시,　　　해운대구,"391,311","187,906","203,405"
부산광역시,　　　사하구,"305,008","151,650","153,358"
부산광역시,　　　금정구,"224,173","109,562","114,611"
부산광역시,　　　강서구,"144,047","74,626","69,421"
부산광역시,　　　연제구,"206,145","99,094","107,051"
부산광역시,　　　수영구,"174,739","82,321","92,418"
부산광역시,　　　사상구,"205,765","103,672","102,093"
부산광역시,　　　기장군,"177,536","87,931","89,605"
대구광역시,소계,"2,375,306","1,169,571","1,205,735"
대구광역시,　　　중구,"78,984","37,920","41,064"
대구광역시,　　　동구,"341,126","167,608","173,518"
대구광역시,　　　서구,"161,542","80,623","80,919"
대구광역시,　　　남구,"141,285","67,750","73,535"
대구광역시,　　　북구,"435,131","216,414","218,717"
대구광역시,　　　수성구,"414,917","200,508","214,409"
대구광역시,　　　달서구,"539,024","265,202","273,822"
대구광역시,　　　달성군,"263,297","133,546","129,751"
인천광역시,소계,"2,957,066","1,480,432","1,476,634"
인천광역시,　　　중구,"147,705","76,777","70,928"
인천광역시,　　　중구영종출장소,0,0,0
인천광역시,　　　중구용유출장소,0,0,0
인천광역시,　　　동구,"59,017","29,742","29,275"
인천광역시,　　　미추홀구,"407,180","204,996","202,184"
인천광역시,　　　연수구,"387,303","192,281","195,022"
인천광역시,　　　남동구,"512,645","254,637","258,008"
인천광역시,　　　부평구,"488,095","240,774","247,321"
인천광역시,　　　계양구,"292,985","145,966","147,019"
인천광역시,　　　서구,"571,547","288,573","282,974"
인천광역시,　　　서구검단출장소,0,0,0
인천광역시,　　　강화군,"70,033","35,006","35,027"
