시도,군구,총인구수,남자인구수,여자인구수
전국,소계,51578178,25711784,25866394
서울특별시,소계,9494807,4605655,4889152
서울특별시,종로구,143624,69513,74111
서울특별시,중구,122088,59364,62724
서울특별시,용산구,222263,106743,115520
서울특별시,성동구,283821,138162,145659
서울특별시,광진구,339893,163920,175973
서울특별시,동대문구,337330,166348,170982
서울특별시,중랑구,388509,191433,197076
서울특별시,성북구,433559,208790,224769
서울특별시,강북구,296653,144154,152499
서울특별시,도봉구,314791,153014,161777
서울특별시,노원구,508066,244387,263679
서울특별시,은평구,473674,226148,247526
서울특별시,서대문구,305623,145663,159960
서울특별시,마포구,367584,172569,195015
서울특별시,양천구,444548,217704,226844
서울특별시,강서구,573045,275233,297812
서울특별시,구로구,394850,194304,200546
서울특별시,금천구,231565,116811,114754
서울특별시,영등포구,376437,185460,190977
서울특별시,동작구,385898,186506,199392
서울특별시,관악구,486946,244722,242224
서울특별시,서초구,407672,194819,212853
서울특별시,강남구,531777,254333,277444
서울특별시,송파구,662961,319397,343564
서울특별시,강동구,461630,226158,235472
부산광역시,소계,3336737,1630944,1705793
부산광역시,중구,40455,19695,20760
부산광역시,서구,104340,50385,53955
부산광역시,동구,88087,43010,45077
부산광역시,영도구,109395,53890,55505
부산광역시,부산진구,350999,168924,182075
부산광역시,동래구,274491,133105,141386
부산광역시,남구,259735,126854,132881
부산광역시,북구,280511,138319,142192
부산광역시,해운대구,391311,187906,203405
부산광역시,사하구,305008,151650,153358
부산광역시,금정구,224173,109562,114611
부산광역시,강서구,144047,74626,69421
부산광역시,연제구,206145,99094,107051
부산광역시,수영구,174739,82321,92418
부산광역시,사상구,205765,103672,102093
부산광역시,기장군,177536,87931,89605
대구광역시,소계,2375306,1169571,1205735
대구광역시,중구,78984,37920,41064
대구광역시,동구,341126,167608,173518
대구광역시,서구,161542,80623,80919
대구광역시,남구,141285,67750,73535
대구광역시,북구,435131,216414,218717
대구광역시,수성구,414917,200508,214409
대구광역시,달서구,539024,265202,273822
대구광역시,달성군,263297,133546,129751
인천광역시,소계,2957066,1480432,1476634
인천광역시,중구,147705,76777,70928
인천광역시,중구영종출장소,0,0,0
인천광역시,중구용유출장소,0,0,0
인천광역시,동구,59017,29742,29275
인천광역시,미추홀구,407180,204996,202184
인천광역시,연수구,387303,192281,195022
인천광역시,남동구,512645,254637,258008
인천광역시,부평구,488095,240774,247321
인천광역시,계양구,292985,145966,147019
인천광역시,서구,571547,288573,282974
인천광역시,서구검단출장소,0,0,0
인천광역시,강화군,70033,35006,35027
인천광역시,옹진군,20556,11680,8876
광주광역시,소계,1435378,709685,725693
광주광역시,동구,103233,50901,52332
광주광역시,서구,288120,141070,147050
광주광역시,남구,215274,103419,111855
광주광역시,북구,426053,211247,214806
광주광역시,광산구,402698,203048,199650
대전광역시,소계,1448401,722517,725884
대전광역시,동구,221043,111349,109694
대전광역시,중구,229570,112994,116576
대전광역시,서구,470332,231167,239165
대전광역시,유성구,352844,178251,174593
대전광역시,대덕구,174612,88756,85856
울산광역시,소계,1115609,573152,542457
울산광역시,중구,210354,106499,103855
울산광역시,남구,312159,159220,152939
울산광역시,동구,152691,79728,72963
울산광역시,북구,218742,113131,105611
울산광역시,울주군,221663,114574,107089
세종특별자치시,소계,380215,189723,190492
세종특별자치시,세종시,380215,189723,190492
경기도,소계,13585967,6838396,6747571
경기도,수원시,1185044,596982,588062
경기도,장안구,273223,137576,135647
경기도,권선구,369188,186636,182552
경기도,팔달구,181123,91205,89918
경기도,영통구,361510,181565,179945
경기도,성남시,926645,458946,467699
경기도,수정구,234728,118945,115783
